Product,Date,Quantity Sold,Price,Revenue,Location,Category
Product_32,2024-06-25,9,339.97,3059.73,Chennai,Fashion
Product_41,2024-02-10,7,447.54,3132.78,Mumbai,Beauty
Product_46,2024-01-18,17,79.16,1345.72,Mumbai,Fashion
Product_11,2024-01-08,7,93.4,653.8,Mumbai,Stationery
Product_21,2024-04-29,3,56.76,170.28,Chennai,Groceries
Product_21,2024-02-18,4,403.6,1614.4,Hyderabad,Electronics
Product_26,2024-06-03,11,163.98,1803.78,Hyderabad,Stationery
Product_20,2024-04-07,1,444.08,444.08,Hyderabad,Beauty
Product_49,2024-05-27,3,187.03,561.09,Chennai,Beauty
Product_41,2024-01-10,20,182.37,3647.4,Delhi,Groceries
Product_41,2024-03-22,7,116.93,818.51,Hyderabad,Electronics
Product_19,2024-03-02,1,183.08,183.08,Delhi,Stationery
Product_15,2024-04-22,3,165.72,497.16,Chennai,Beauty
Product_47,2024-05-16,15,236.67,3550.05,Bangalore,Stationery
Product_31,2024-01-31,3,187.53,562.59,Hyderabad,Groceries
Product_14,2024-01-30,15,453.74,6806.1,Mumbai,Beauty
Product_48,2024-03-28,5,363.08,1815.4,Mumbai,Groceries
Product_20,2024-06-16,9,212.78,1915.02,Hyderabad,Electronics
Product_48,2024-04-20,14,190.59,2668.26,Mumbai,Groceries
Product_26,2024-05-27,12,387.47,4649.64,Hyderabad,Fashion
Product_14,2024-03-17,3,434.09,1302.27,Hyderabad,Electronics
Product_14,2024-06-01,7,248.88,1742.16,Bangalore,Electronics
Product_5,2024-02-04,20,407.47,8149.4,Chennai,Beauty
Product_16,2024-02-02,15,53.32,799.8,Chennai,Electronics
Product_35,2024-03-05,14,327.46,4584.44,Delhi,Stationery
Product_22,2024-03-06,16,302.6,4841.6,Hyderabad,Stationery
Product_41,2024-02-11,10,194.25,1942.5,Chennai,Beauty
Product_5,2024-03-07,10,447.9,4479.0,Hyderabad,Beauty
Product_11,2024-06-22,17,461.34,7842.78,Delhi,Beauty
Product_28,2024-06-24,19,154.27,2931.13,Hyderabad,Groceries
Product_23,2024-06-16,10,349.63,3496.3,Hyderabad,Stationery
Product_45,2024-05-11,10,156.25,1562.5,Hyderabad,Electronics
Product_38,2024-04-13,12,467.13,5605.56,Hyderabad,Electronics
Product_31,2024-06-14,5,460.76,2303.8,Bangalore,Stationery
Product_49,2024-04-05,12,281.39,3376.68,Bangalore,Beauty
Product_33,2024-04-14,15,331.09,4966.35,Delhi,Beauty
Product_8,2024-05-15,15,241.28,3619.2,Chennai,Stationery
Product_24,2024-02-09,8,402.75,3222.0,Chennai,Groceries
Product_21,2024-03-18,11,470.04,5170.44,Mumbai,Stationery
Product_49,2024-04-06,2,445.91,891.82,Mumbai,Groceries
Product_27,2024-04-21,13,367.56,4778.28,Chennai,Groceries
Product_12,2024-05-13,15,442.37,6635.55,Mumbai,Electronics
Product_32,2024-04-28,9,345.45,3109.05,Bangalore,Electronics
Product_28,2024-06-18,12,493.3,5919.6,Mumbai,Fashion
Product_16,2024-05-22,16,144.92,2318.72,Hyderabad,Stationery
Product_20,2024-03-10,14,303.05,4242.7,Chennai,Fashion
Product_34,2024-04-17,3,239.12,717.36,Bangalore,Electronics
Product_23,2024-03-02,8,295.09,2360.72,Chennai,Fashion
Product_33,2024-02-21,18,68.19,1227.42,Mumbai,Fashion
Product_14,2024-05-14,7,421.63,2951.41,Chennai,Beauty
Product_10,2024-05-12,8,144.37,1154.96,Hyderabad,Electronics
Product_1,2024-05-28,13,285.65,3713.45,Bangalore,Electronics
Product_8,2024-05-24,11,223.71,2460.81,Chennai,Stationery
Product_8,2024-01-02,3,388.74,1166.22,Mumbai,Stationery
Product_1,2024-02-13,10,141.94,1419.4,Delhi,Electronics
Product_22,2024-01-12,20,216.48,4329.6,Delhi,Groceries
Product_15,2024-03-16,11,309.1,3400.1,Chennai,Stationery
Product_38,2024-03-07,17,185.64,3155.88,Chennai,Groceries
Product_43,2024-03-01,17,198.37,3372.29,Mumbai,Electronics
Product_33,2024-02-21,11,479.4,5273.4,Chennai,Fashion
Product_37,2024-03-02,19,232.79,4423.01,Chennai,Beauty
Product_22,2024-04-06,10,404.3,4043.0,Delhi,Electronics
Product_42,2024-02-01,13,255.14,3316.82,Delhi,Fashion
Product_22,2024-06-25,12,284.07,3408.84,Bangalore,Stationery
Product_40,2024-05-14,9,399.56,3596.04,Bangalore,Electronics
Product_10,2024-03-03,14,406.13,5685.82,Bangalore,Fashion
Product_36,2024-05-07,9,328.88,2959.92,Mumbai,Beauty
Product_35,2024-03-20,16,479.11,7665.76,Bangalore,Stationery
Product_4,2024-02-26,9,406.92,3662.28,Hyderabad,Beauty
Product_33,2024-03-11,15,317.1,4756.5,Bangalore,Fashion
Product_24,2024-05-30,4,259.76,1039.04,Hyderabad,Groceries
Product_30,2024-01-13,4,483.71,1934.84,Delhi,Stationery
Product_4,2024-01-12,19,275.37,5232.03,Delhi,Fashion
Product_6,2024-03-18,17,168.21,2859.57,Delhi,Electronics
Product_31,2024-04-23,16,176.18,2818.88,Chennai,Stationery
Product_10,2024-01-09,15,246.59,3698.85,Bangalore,Groceries
Product_3,2024-06-25,7,169.7,1187.9,Mumbai,Fashion
Product_15,2024-06-14,17,402.01,6834.17,Mumbai,Groceries
Product_35,2024-02-13,6,193.22,1159.32,Mumbai,Beauty
Product_48,2024-06-29,9,135.15,1216.35,Mumbai,Stationery
Product_41,2024-01-15,16,205.71,3291.36,Chennai,Stationery
Product_46,2024-02-04,9,410.23,3692.07,Mumbai,Fashion
Product_17,2024-05-26,2,232.83,465.66,Chennai,Groceries
Product_35,2024-05-31,12,401.71,4820.52,Chennai,Fashion
Product_47,2024-03-22,3,313.66,940.98,Chennai,Beauty
Product_17,2024-01-08,1,459.1,459.1,Bangalore,Stationery
Product_19,2024-06-03,5,266.13,1330.65,Delhi,Stationery
Product_40,2024-01-31,17,345.35,5870.95,Chennai,Beauty
Product_16,2024-01-30,2,484.89,969.78,Mumbai,Beauty
Product_30,2024-02-05,4,337.73,1350.92,Hyderabad,Stationery
Product_8,2024-03-02,5,238.0,1190.0,Chennai,Stationery
Product_10,2024-05-08,7,222.78,1559.46,Hyderabad,Beauty
Product_50,2024-04-07,15,79.38,1190.7,Mumbai,Groceries
Product_50,2024-06-15,10,159.3,1593.0,Mumbai,Stationery
Product_30,2024-05-28,12,310.75,3729.0,Chennai,Groceries
Product_47,2024-02-17,8,147.44,1179.52,Bangalore,Groceries
Product_20,2024-02-13,2,163.82,327.64,Chennai,Beauty
Product_35,2024-03-09,13,375.27,4878.51,Delhi,Stationery
Product_2,2024-02-19,20,416.57,8331.4,Mumbai,Groceries
Product_31,2024-03-05,1,400.55,400.55,Delhi,Electronics
Product_2,2024-04-27,20,213.1,4262.0,Hyderabad,Electronics
Product_20,2024-06-01,9,382.03,3438.27,Mumbai,Electronics
Product_37,2024-06-09,2,348.71,697.42,Bangalore,Groceries
Product_47,2024-01-29,3,197.6,592.8,Hyderabad,Groceries
Product_9,2024-01-04,7,58.48,409.36,Hyderabad,Stationery
Product_10,2024-01-15,10,253.04,2530.4,Chennai,Fashion
Product_5,2024-04-21,2,299.48,598.96,Hyderabad,Stationery
Product_17,2024-03-07,17,74.17,1260.89,Bangalore,Stationery
Product_13,2024-03-11,9,110.39,993.51,Delhi,Beauty
Product_35,2024-05-16,20,178.06,3561.2,Mumbai,Stationery
Product_36,2024-05-21,3,425.32,1275.96,Mumbai,Electronics
Product_7,2024-06-21,11,185.52,2040.72,Chennai,Beauty
Product_49,2024-02-25,16,258.15,4130.4,Hyderabad,Electronics
Product_6,2024-03-16,8,485.4,3883.2,Chennai,Fashion
Product_49,2024-03-28,7,265.76,1860.32,Delhi,Fashion
Product_33,2024-02-27,13,488.44,6349.72,Delhi,Electronics
Product_47,2024-05-15,11,292.79,3220.69,Delhi,Electronics
Product_40,2024-03-13,19,303.43,5765.17,Hyderabad,Beauty
Product_14,2024-05-01,18,218.55,3933.9,Bangalore,Stationery
Product_4,2024-06-06,14,225.73,3160.22,Bangalore,Beauty
Product_48,2024-04-17,2,480.76,961.52,Chennai,Groceries
Product_28,2024-01-02,7,365.22,2556.54,Chennai,Electronics
Product_32,2024-06-27,17,371.01,6307.17,Bangalore,Stationery
Product_45,2024-06-27,6,118.73,712.38,Bangalore,Groceries
Product_25,2024-04-28,14,324.71,4545.94,Mumbai,Electronics
Product_3,2024-06-23,17,145.97,2481.49,Bangalore,Beauty
Product_33,2024-05-10,11,399.08,4389.88,Delhi,Stationery
Product_40,2024-05-03,12,467.44,5609.28,Chennai,Beauty
Product_31,2024-01-13,9,464.7,4182.3,Mumbai,Groceries
Product_4,2024-01-10,20,214.0,4280.0,Bangalore,Fashion
Product_48,2024-05-02,1,88.04,88.04,Chennai,Groceries
Product_35,2024-03-25,16,256.33,4101.28,Hyderabad,Fashion
Product_44,2024-04-09,9,252.72,2274.48,Mumbai,Fashion
Product_38,2024-02-15,19,317.44,6031.36,Hyderabad,Fashion
Product_24,2024-03-31,13,110.07,1430.91,Bangalore,Beauty
Product_43,2024-02-01,15,157.1,2356.5,Bangalore,Fashion
Product_48,2024-01-11,16,221.25,3540.0,Chennai,Stationery
Product_6,2024-05-01,5,54.99,274.95,Delhi,Electronics
Product_6,2024-02-20,12,447.44,5369.28,Bangalore,Electronics
Product_4,2024-03-24,8,272.52,2180.16,Chennai,Stationery
Product_6,2024-06-26,9,357.48,3217.32,Delhi,Beauty
Product_49,2024-04-10,7,159.32,1115.24,Mumbai,Beauty
Product_20,2024-02-19,1,240.52,240.52,Bangalore,Electronics
Product_12,2024-01-25,8,238.29,1906.32,Chennai,Beauty
Product_8,2024-01-17,18,195.16,3512.88,Bangalore,Stationery
Product_12,2024-03-29,18,482.46,8684.28,Mumbai,Beauty
Product_28,2024-03-17,14,161.44,2260.16,Delhi,Electronics
Product_41,2024-05-25,4,101.59,406.36,Mumbai,Beauty
Product_26,2024-05-14,13,282.32,3670.16,Chennai,Fashion
Product_23,2024-01-14,16,263.57,4217.12,Bangalore,Fashion
Product_5,2024-04-09,6,434.77,2608.62,Delhi,Stationery
Product_29,2024-04-02,1,406.31,406.31,Delhi,Electronics
Product_46,2024-05-24,12,229.96,2759.52,Delhi,Fashion
Product_39,2024-05-12,15,351.98,5279.7,Hyderabad,Groceries
Product_15,2024-03-01,16,288.06,4608.96,Bangalore,Groceries
Product_47,2024-03-17,17,354.5,6026.5,Bangalore,Electronics
Product_50,2024-06-08,5,402.41,2012.05,Delhi,Beauty
Product_22,2024-01-10,14,319.28,4469.92,Bangalore,Stationery
Product_46,2024-04-15,8,384.38,3075.04,Mumbai,Electronics
Product_9,2024-02-13,9,229.54,2065.86,Chennai,Beauty
Product_38,2024-06-17,11,420.52,4625.72,Delhi,Groceries
Product_27,2024-01-20,3,400.91,1202.73,Delhi,Beauty
Product_49,2024-05-07,16,274.27,4388.32,Chennai,Groceries
Product_12,2024-05-14,7,73.38,513.66,Delhi,Electronics
Product_10,2024-01-29,1,235.31,235.31,Mumbai,Groceries
Product_35,2024-02-23,10,293.03,2930.3,Mumbai,Electronics
Product_4,2024-05-27,10,90.75,907.5,Mumbai,Groceries
Product_15,2024-06-28,1,65.64,65.64,Chennai,Electronics
Product_7,2024-04-20,12,299.47,3593.64,Mumbai,Electronics
Product_2,2024-01-17,12,128.27,1539.24,Mumbai,Electronics
Product_45,2024-05-12,7,161.0,1127.0,Chennai,Beauty
Product_28,2024-02-24,5,218.47,1092.35,Chennai,Beauty
Product_41,2024-06-23,17,486.27,8266.59,Chennai,Stationery
Product_26,2024-01-20,14,299.95,4199.3,Mumbai,Beauty
Product_50,2024-02-28,20,127.8,2556.0,Mumbai,Fashion
Product_44,2024-01-02,15,99.26,1488.9,Mumbai,Stationery
Product_35,2024-06-10,13,128.33,1668.29,Hyderabad,Fashion
Product_50,2024-05-12,20,417.77,8355.4,Bangalore,Groceries
Product_6,2024-02-06,2,86.66,173.32,Mumbai,Stationery
Product_2,2024-02-06,3,399.53,1198.59,Chennai,Fashion
Product_8,2024-01-29,16,278.46,4455.36,Hyderabad,Groceries
Product_38,2024-05-12,1,481.9,481.9,Mumbai,Groceries
Product_20,2024-03-22,18,99.54,1791.72,Hyderabad,Electronics
Product_23,2024-06-22,15,307.88,4618.2,Delhi,Stationery
Product_36,2024-01-27,4,164.28,657.12,Chennai,Stationery
Product_1,2024-03-13,18,406.01,7308.18,Chennai,Fashion
Product_3,2024-01-20,10,160.53,1605.3,Hyderabad,Fashion
Product_22,2024-05-20,9,188.68,1698.12,Mumbai,Fashion
Product_46,2024-06-14,3,461.62,1384.86,Hyderabad,Stationery
Product_32,2024-04-09,17,176.51,3000.67,Bangalore,Stationery
Product_47,2024-02-15,2,107.92,215.84,Bangalore,Fashion
Product_26,2024-04-18,19,352.59,6699.21,Mumbai,Groceries
Product_23,2024-06-23,20,457.3,9146.0,Chennai,Beauty
Product_7,2024-02-09,18,339.67,6114.06,Delhi,Electronics
Product_47,2024-02-28,4,59.01,236.04,Chennai,Electronics
Product_24,2024-04-19,15,456.03,6840.45,Chennai,Stationery
Product_42,2024-03-27,15,224.26,3363.9,Hyderabad,Groceries
Product_31,2024-02-17,4,387.88,1551.52,Delhi,Beauty
Product_32,2024-06-29,9,183.19,1648.71,Bangalore,Fashion
Product_35,2024-04-19,6,263.54,1581.24,Hyderabad,Groceries
Product_4,2024-03-25,5,402.56,2012.8,Bangalore,Stationery
Product_38,2024-03-08,4,265.29,1061.16,Chennai,Electronics
Product_44,2024-05-25,8,78.89,631.12,Mumbai,Fashion
Product_46,2024-02-28,13,72.71,945.23,Delhi,Fashion
Product_15,2024-05-21,9,277.53,2497.77,Mumbai,Electronics
Product_11,2024-01-31,20,73.05,1461.0,Mumbai,Electronics
Product_6,2024-05-29,13,392.25,5099.25,Delhi,Electronics
Product_2,2024-06-21,2,383.62,767.24,Hyderabad,Beauty
Product_33,2024-05-05,11,253.29,2786.19,Chennai,Electronics
Product_28,2024-01-29,14,248.39,3477.46,Delhi,Electronics
Product_6,2024-02-26,6,104.63,627.78,Mumbai,Stationery
Product_48,2024-03-06,9,305.91,2753.19,Bangalore,Stationery
Product_3,2024-02-02,16,131.61,2105.76,Bangalore,Stationery
Product_36,2024-01-30,2,320.76,641.52,Delhi,Groceries
Product_28,2024-02-28,16,482.02,7712.32,Chennai,Electronics
Product_49,2024-02-04,20,472.46,9449.2,Delhi,Fashion
Product_48,2024-02-05,7,191.3,1339.1,Bangalore,Fashion
Product_7,2024-05-01,18,152.89,2752.02,Bangalore,Stationery
Product_35,2024-04-28,18,138.9,2500.2,Mumbai,Stationery
Product_20,2024-02-09,7,417.41,2921.87,Mumbai,Stationery
Product_46,2024-01-16,17,295.05,5015.85,Chennai,Groceries
Product_49,2024-05-07,6,132.06,792.36,Mumbai,Stationery
Product_4,2024-02-03,3,280.3,840.9,Bangalore,Groceries
Product_20,2024-02-29,5,418.9,2094.5,Bangalore,Electronics
Product_17,2024-06-13,19,160.61,3051.59,Mumbai,Stationery
Product_17,2024-02-16,16,428.44,6855.04,Bangalore,Stationery
Product_41,2024-01-29,2,95.96,191.92,Hyderabad,Beauty
Product_43,2024-02-26,12,154.81,1857.72,Chennai,Stationery
Product_36,2024-01-23,6,417.67,2506.02,Bangalore,Electronics
Product_50,2024-01-27,4,470.57,1882.28,Delhi,Stationery
Product_26,2024-02-24,19,292.15,5550.85,Delhi,Fashion
Product_26,2024-02-03,18,162.99,2933.82,Bangalore,Groceries
Product_25,2024-01-22,17,261.17,4439.89,Delhi,Electronics
Product_34,2024-02-24,5,391.8,1959.0,Delhi,Stationery
Product_22,2024-02-05,12,256.76,3081.12,Mumbai,Electronics
Product_4,2024-02-05,20,211.39,4227.8,Delhi,Electronics
Product_30,2024-03-13,17,449.64,7643.88,Delhi,Beauty
Product_33,2024-06-24,8,113.37,906.96,Chennai,Groceries
Product_11,2024-01-03,20,390.77,7815.4,Chennai,Beauty
Product_41,2024-05-01,6,88.15,528.9,Hyderabad,Stationery
Product_11,2024-02-10,1,266.21,266.21,Chennai,Groceries
Product_12,2024-05-28,18,113.45,2042.1,Bangalore,Beauty
Product_47,2024-01-13,17,128.73,2188.41,Hyderabad,Beauty
Product_38,2024-03-31,1,122.93,122.93,Hyderabad,Fashion
Product_19,2024-03-13,12,266.2,3194.4,Mumbai,Electronics
Product_26,2024-02-28,6,353.81,2122.86,Delhi,Groceries
Product_25,2024-04-02,8,172.66,1381.28,Chennai,Electronics
Product_28,2024-05-02,20,470.59,9411.8,Chennai,Electronics
Product_4,2024-06-07,8,365.9,2927.2,Chennai,Fashion
Product_38,2024-02-09,7,133.63,935.41,Hyderabad,Fashion
Product_24,2024-05-27,17,176.42,2999.14,Mumbai,Beauty
Product_36,2024-05-29,2,469.42,938.84,Chennai,Groceries
Product_1,2024-05-11,10,348.23,3482.3,Mumbai,Beauty
Product_32,2024-06-21,6,472.81,2836.86,Mumbai,Beauty
Product_33,2024-02-21,18,68.19,1227.42,Mumbai,Fashion
Product_37,2024-01-29,5,53.17,265.85,Chennai,Electronics
Product_38,2024-05-23,11,245.05,2695.55,Mumbai,Electronics
Product_45,2024-01-15,13,457.96,5953.48,Hyderabad,Beauty
Product_28,2024-02-06,20,330.0,6600.0,Chennai,Fashion
Product_5,2024-04-21,8,371.02,2968.16,Mumbai,Fashion
Product_43,2024-03-07,12,176.5,2118.0,Delhi,Stationery
Product_32,2024-01-17,14,95.21,1332.94,Bangalore,Fashion
Product_42,2024-02-29,5,190.09,950.45,Delhi,Beauty
Product_22,2024-03-07,4,376.03,1504.12,Chennai,Fashion
Product_48,2024-02-10,13,91.93,1195.09,Bangalore,Electronics
Product_9,2024-02-06,16,288.86,4621.76,Delhi,Stationery
Product_26,2024-01-18,11,266.83,2935.13,Delhi,Beauty
Product_49,2024-05-30,17,57.3,974.1,Delhi,Stationery
Product_19,2024-04-22,11,182.9,2011.9,Hyderabad,Fashion
Product_15,2024-03-30,13,347.19,4513.47,Hyderabad,Groceries
Product_34,2024-02-03,20,356.49,7129.8,Delhi,Stationery
Product_17,2024-06-26,8,431.25,3450.0,Mumbai,Stationery
Product_24,2024-01-10,2,421.64,843.28,Delhi,Beauty
Product_25,2024-04-18,19,77.71,1476.49,Hyderabad,Fashion
Product_24,2024-05-13,11,96.48,1061.28,Mumbai,Groceries
Product_39,2024-05-17,1,231.13,231.13,Bangalore,Beauty
Product_26,2024-01-11,3,394.02,1182.06,Delhi,Stationery
Product_49,2024-01-27,13,458.18,5956.34,Chennai,Electronics
Product_29,2024-06-29,11,247.99,2727.89,Mumbai,Stationery
Product_29,2024-03-27,13,195.78,2545.14,Chennai,Beauty
Product_43,2024-02-14,20,95.69,1913.8,Mumbai,Electronics
Product_21,2024-06-23,17,138.49,2354.33,Delhi,Fashion
Product_46,2024-05-03,10,476.15,4761.5,Delhi,Groceries
Product_13,2024-06-16,14,77.56,1085.84,Delhi,Groceries
Product_9,2024-06-29,20,212.57,4251.4,Mumbai,Fashion
,,,,,,
Product_14,2024-05-17,1,85.99,85.99,Bangalore,Fashion
Product_44,2024-03-03,17,396.03,6732.51,Chennai,Beauty
Product_50,2024-03-13,12,71.5,858.0,Mumbai,Stationery
Product_18,2024-06-01,8,322.47,2579.76,Mumbai,Fashion
Product_19,2024-04-08,16,135.77,2172.32,Bangalore,Electronics
Product_21,2024-04-12,16,173.56,2776.96,Chennai,Beauty
Product_3,2024-01-17,1,423.68,423.68,Delhi,Stationery
Product_2,2024-03-25,1,340.26,340.26,Mumbai,Stationery
Product_44,2024-01-09,4,306.19,1224.76,Mumbai,Stationery
Product_50,2024-01-07,17,404.17,6870.89,Bangalore,Groceries
Product_26,2024-04-04,8,445.12,3560.96,Bangalore,Electronics
Product_19,2024-03-28,12,50.73,608.76,Bangalore,Stationery
Product_14,2024-04-14,7,86.65,606.55,Mumbai,Stationery
Product_39,2024-02-26,5,388.15,1940.75,Hyderabad,Stationery
Product_42,2024-02-15,12,451.95,5423.4,Hyderabad,Fashion
Product_40,2024-02-07,8,428.19,3425.52,Bangalore,Stationery
Product_1,2024-01-19,10,260.07,2600.7,Hyderabad,Stationery
Product_26,2024-01-10,9,168.77,1518.93,Chennai,Stationery
Product_12,2024-02-19,12,416.35,4996.2,Delhi,Beauty
Product_2,2024-03-17,3,273.16,819.48,Mumbai,Fashion
Product_35,2024-06-19,12,485.74,5828.88,Chennai,Beauty
Product_17,2024-03-06,15,55.93,838.95,Delhi,Beauty
Product_4,2024-05-22,9,145.57,1310.13,Hyderabad,Groceries
Product_14,2024-01-14,11,285.19,3137.09,Bangalore,Groceries
Product_24,2024-04-23,13,265.77,3455.01,Chennai,Groceries
Product_31,2024-01-07,8,223.9,1791.2,Delhi,Stationery
Product_49,2024-06-04,11,121.61,1337.71,Mumbai,Fashion
Product_46,2024-05-29,1,315.64,315.64,Chennai,Electronics
Product_6,2024-01-09,14,234.42,3281.88,Mumbai,Stationery
Product_7,2024-05-24,6,270.83,1624.98,Delhi,Stationery
Product_10,2024-03-07,15,462.72,6940.8,Mumbai,Groceries
Product_20,2024-01-02,8,204.12,1632.96,Chennai,Electronics
Product_41,2024-06-03,18,422.08,7597.44,Hyderabad,Electronics
Product_7,2024-04-30,3,160.57,481.71,Hyderabad,Beauty
Product_24,2024-03-22,10,410.25,4102.5,Mumbai,Fashion
Product_31,2024-04-13,8,77.35,618.8,Bangalore,Fashion
Product_43,2024-06-03,7,439.97,3079.79,Delhi,Beauty
Product_17,2024-06-26,8,431.25,3450.0,Mumbai,Stationery
Product_27,2024-01-09,16,381.76,6108.16,Mumbai,Stationery
Product_2,2024-06-25,19,188.8,3587.2,Delhi,Fashion
Product_9,2024-02-19,12,157.02,1884.24,Mumbai,Beauty
Product_25,2024-04-07,9,117.77,1059.93,Mumbai,Beauty
Product_32,2024-05-20,8,459.08,3672.64,Mumbai,Beauty
